Show/Hide,Cpd,File,ID Source,Name,Formula,Saturated,RT,m/z,Mass,Score,Score (Lib),Score (DB),Score (MFG),RT Diff (Tgt),"Diff (Tgt, ppm)","Diff (DB, ppm)","Diff (MFG, ppm)",Polarity,Ions,Height,Area,Vol,Hits (DB),Algorithm,Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt)
TRUE,87,SLZ_200313_09.d,,,,,0.692,381.9892,382.9965,,,,,,,,,Negative,2,4391,,22202,,Find by Molecular Feature,,,,35.1,,,,,
TRUE,837,SLZ_200313_09.d,,,,,1.028,382.239,383.2463,,,,,,,,,Negative,2,7858,,44713,,Find by Molecular Feature,,,,43.5,,,,,
TRUE,768,SLZ_200313_09.d,,,,,1.018,382.6382,383.6455,,,,,,,,,Negative,3,1841,,13909,,Find by Molecular Feature,,,,35,,,,,
TRUE,484,SLZ_200313_09.d,,,,,0.98,383.3568,384.3641,,,,,,,,,Negative,3,33555,,160042,,Find by Molecular Feature,,,,37.7,,,,,
TRUE,67,SLZ_200313_09.d,,,,,0.683,383.9863,384.9936,,,,,,,,,Negative,3,70299,,325251,,Find by Molecular Feature,,,,42.8,,,,,
TRUE,158,SLZ_200313_09.d,,,,,0.761,384.0307,385.038,,,,,,,,,Negative,2,15841,,122858,,Find by Molecular Feature,,,,74.3,,,,,
TRUE,201,SLZ_200313_09.d,,,,,0.799,384.8933,385.9006,,,,,,,,,Negative,2,38436,,317307,,Find by Molecular Feature,,,,100,,,,,
TRUE,956,SLZ_200313_09.d,,,,,1.131,384.8933,385.9006,,,,,,,,,Negative,2,10989,,194516,,Find by Molecular Feature,,,,86.7,,,,,
TRUE,4,SLZ_200313_09.d,,,,,0.181,384.9337,385.941,,,,,,,,,Negative,3,26254,,410322,,Find by Molecular Feature,,,,35,,,,,
TRUE,3714,SLZ_200313_09.d,,,,,60.252,384.9339,385.9412,,,,,,,,,Negative,3,46168,,1257036,,Find by Molecular Feature,,,,82.7,,,,,
TRUE,188,SLZ_200313_09.d,,,,,0.789,385.8656,386.8729,,,,,,,,,Negative,2,9592,,79182,,Find by Molecular Feature,,,,86,,,,,
TRUE,3733,SLZ_200313_09.d,,,,,61.202,385.9363,386.9436,,,,,,,,,Negative,2,6962,,269816,,Find by Molecular Feature,,,,47.5,,,,,
TRUE,31,SLZ_200313_09.d,,,,,0.621,386.8217,387.829,,,,,,,,,Negative,3,12202,,70485,,Find by Molecular Feature,,,,35,,,,,
TRUE,40,SLZ_200313_09.d,,,,,0.654,386.8964,387.9037,,,,,,,,,Negative,2,5462,,23359,,Find by Molecular Feature,,,,34.1,,,,,
TRUE,4041,SLZ_200313_09.d,,,,,62.752,387.0927,388.1,,,,,,,,,Negative,2,6253,,205766,,Find by Molecular Feature,,,,41.7,,,,,
TRUE,3847,SLZ_200313_09.d,,,,,62.464,389.2889,390.2961,,,,,,,,,Negative,4,98804,,5078834,,Find by Molecular Feature,,,,74.3,,,,,
TRUE,1022,SLZ_200313_09.d,,,,,2.563,390.9513,391.9586,,,,,,,,,Negative,4,119936,,4003254,,Find by Molecular Feature,,,,51.8,,,,,
TRUE,101,SLZ_200313_09.d,,,,,0.697,391.0034,392.0107,,,,,,,,,Negative,3,28580,,170757,,Find by Molecular Feature,,,,65.2,,,,,
TRUE,4197,SLZ_200313_09.d,,,,,63.409,392.8535,393.8608,,,,,,,,,Negative,3,2826,,85982,,Find by Molecular Feature,,,,49.8,,,,,
TRUE,205,SLZ_200313_09.d,,,,,0.802,392.8546,393.8618,,,,,,,,,Negative,3,9858,,104330,,Find by Molecular Feature,,,,57.3,,,,,
TRUE,1051,SLZ_200313_09.d,,,,,2.851,392.9499,393.9572,,,,,,,,,Negative,2,3808,,51841,,Find by Molecular Feature,,,,42,,,,,
TRUE,3988,SLZ_200313_09.d,,,,,62.622,394.0195,395.0268,,,,,,,,,Negative,2,3066,,67697,,Find by Molecular Feature,,,,42.3,,,,,
TRUE,80,SLZ_200313_09.d,,,,,0.689,395.0246,396.0319,,,,,,,,,Negative,3,6523,,61728,,Find by Molecular Feature,,,,67.4,,,,,
TRUE,1041,SLZ_200313_09.d,,,,,2.641,396.8299,397.8372,,,,,,,,,Negative,3,5314,,155883,,Find by Molecular Feature,,,,34.9,,,,,
TRUE,44,SLZ_200313_09.d,,,,,0.661,396.848,397.8553,,,,,,,,,Negative,4,16154,,112944,,Find by Molecular Feature,,,,75.9,,,,,
TRUE,1010,SLZ_200313_09.d,,,,,1.324,396.9686,397.9758,,,,,,,,,Negative,3,185565,,7099295,,Find by Molecular Feature,,,,95.8,,,,,
TRUE,328,SLZ_200313_09.d,,,,,0.956,398.3662,399.3734,,,,,,,,,Negative,3,17027,,107170,,Find by Molecular Feature,,,,42.8,,,,,
TRUE,99,SLZ_200313_09.d,,,,,0.696,398.9072,399.9145,,,,,,,,,Negative,2,4645,,32382,,Find by Molecular Feature,,,,34.6,,,,,
TRUE,4194,SLZ_200313_09.d,,,,,63.399,400.8662,401.8735,,,,,,,,,Negative,5,145431,,2856692,,Find by Molecular Feature,,,,100,,,,,
TRUE,202,SLZ_200313_09.d,,,,,0.799,400.8667,401.874,,,,,,,,,Negative,2,121152,,1018852,,Find by Molecular Feature,,,,99.7,,,,,
TRUE,965,SLZ_200313_09.d,,,,,1.153,400.8667,401.874,,,,,,,,,Negative,3,52489,,1195924,,Find by Molecular Feature,,,,83.3,,,,,
TRUE,1012,SLZ_200313_09.d,,,,,2.035,400.8669,401.8741,,,,,,,,,Negative,2,8885,,170349,,Find by Molecular Feature,,,,40.1,,,,,
TRUE,3723,SLZ_200313_09.d,,,,,60.576,400.9852,401.9925,,,,,,,,,Negative,2,206354,,2319225,,Find by Molecular Feature,,,,75.8,,,,,
TRUE,3850,SLZ_200313_09.d,,,,,62.471,400.9852,401.9925,,,,,,,,,Negative,2,208194,,10988203,,Find by Molecular Feature,,,,92.5,,,,,
TRUE,354,SLZ_200313_09.d,,,,,0.961,401.3673,402.3745,,,,,,,,,Negative,3,88875,,454214,,Find by Molecular Feature,,,,60,,,,,
TRUE,23,SLZ_200313_09.d,,,,,0.589,402.8036,403.8105,,,,,,,,,Negative,8,37096,,295841,,Find by Molecular Feature,,,,37.2,,,,,
TRUE,148,SLZ_200313_09.d,,,,,0.739,402.882,403.8892,,,,,,,,,Negative,4,19816,,152067,,Find by Molecular Feature,,,,60.4,,,,,
TRUE,971,SLZ_200313_09.d,,,,,1.168,402.94,403.9473,,,,,,,,,Negative,2,4947,,92881,,Find by Molecular Feature,,,,61.9,,,,,
TRUE,3726,SLZ_200313_09.d,,,,,60.598,402.9809,403.9882,,,,,,,,,Negative,2,488835,,3772699,,Find by Molecular Feature,,,,48.3,,,,,
TRUE,3968,SLZ_200313_09.d,,,,,62.597,403.3048,404.3121,,,,,,,,,Negative,4,42627,,2105875,,Find by Molecular Feature,,,,34.7,,,,,
TRUE,3881,SLZ_200313_09.d,,,,,62.521,403.9844,404.9917,,,,,,,,,Negative,2,24780,,1341103,,Find by Molecular Feature,,,,47.2,,,,,
TRUE,1020,SLZ_200313_09.d,,,,,2.537,404.874,405.8813,,,,,,,,,Negative,2,2154,,39060,,Find by Molecular Feature,,,,34.4,,,,,
TRUE,1031,SLZ_200313_09.d,,,,,2.603,404.9666,405.9739,,,,,,,,,Negative,2,13553,,394726,,Find by Molecular Feature,,,,45.5,,,,,
TRUE,91,SLZ_200313_09.d,,,,,0.693,405.9684,406.9756,,,,,,,,,Negative,4,29286,,192521,,Find by Molecular Feature,,,,55.5,,,,,
TRUE,440,SLZ_200313_09.d,,,,,0.975,406.7146,407.7218,,,,,,,,,Negative,3,18507,,114676,,Find by Molecular Feature,,,,52,,,,,
TRUE,97,SLZ_200313_09.d,,,,,0.695,408.931,409.9383,,,,,,,,,Negative,2,15655,,85561,,Find by Molecular Feature,,,,68.3,,,,,
TRUE,4110,SLZ_200313_09.d,,,,,62.889,409.3097,410.317,,,,,,,,,Negative,2,19384,,152164,,Find by Molecular Feature,,,,36.5,,,,,
TRUE,175,SLZ_200313_09.d,,,,,0.778,410.8635,411.8708,,,,,,,,,Negative,2,6162,,40614,,Find by Molecular Feature,,,,70.4,,,,,
TRUE,766,SLZ_200313_09.d,,,,,1.017,411.0452,412.0525,,,,,,,,,Negative,6,666205,,4249257,,Find by Molecular Feature,,,,79.8,,,,,
TRUE,321,SLZ_200313_09.d,,,,,0.954,412.3669,413.3742,,,,,,,,,Negative,3,134459,,653177,,Find by Molecular Feature,,,,51,,,,,
TRUE,25,SLZ_200313_09.d,,,,,0.596,412.8412,413.8484,,,,,,,,,Negative,3,10198,,56759,,Find by Molecular Feature,,,,35,,,,,
TRUE,3790,SLZ_200313_09.d,,,,,62.239,413.2333,414.2405,,,,,,,,,Negative,3,1826,,57216,,Find by Molecular Feature,,,,45.1,,,,,
TRUE,98,SLZ_200313_09.d,,,,,0.696,414.8944,415.9017,,,,,,,,,Negative,2,9361,,86383,,Find by Molecular Feature,,,,85.7,,,,,
TRUE,100,SLZ_200313_09.d,,,,,0.697,450.9492,415.9779,,,,,,,,,Negative,4,3809,,61798,,Find by Molecular Feature,,,,35,,,,,
TRUE,523,SLZ_200313_09.d,,,,,0.986,415.3681,416.3753,,,,,,,,,Negative,2,3389,,14653,,Find by Molecular Feature,,,,31.5,,,,,
